Alan Howarth, Newport East
Alice Mahon, Halifax
Andrew Bennett, Denton & Reddish
Andrew Hunter, Basingstoke
Ann Taylor, Dewsbury
Archie Norman, Tunbridge Wells
Bill Tynan, Hamilton South
Brian Sedgemore, Hackney South & Shoreditch
Brian Wilson, Cunninghame North
Chris Smith, Islington South & Finsbury
Clive Soley, Ealing Acton & Shepherd's Bush
Colin Pickthall, West Lancashire
Dame Marion Roe, Broxbourne
David Atkinson, Bournemouth East
David Chidgey, Eastleigh
David Hinchliffe, Wakefield
David Jamieson, Plymouth Devonport
Debra Shipley, Stourbridge
Dennis Turner, Wolverhampton South East
Denzil Davies, Llanelli
Derek Foster, Bishop Auckland
Diana Organ, Forest of Dean
Donald Anderson, Swansea East
Ernie Ross, Dundee West
Estelle Morris, Birmingham Yardley
George Foulkes, Carrick Cumnock & Doon Valley
George Stevenson, Stoke-on-Trent South
Gerry Steinberg, City of Durham
Gillian Shephard, Norfolk South West
Harold Best, Leeds North West
Harry Barnes, North East Derbyshire
Helen Jackson, Sheffield Hillsborough
Helen Liddell, Airdrie & Shotts
Hilton Dawson, Lancaster & Wyre
Howard Flight, Arundel & South Downs
Iain Coleman, Hammersmith & Fulham
Irene Adams, Paisley North
Ivor Caplin, Hove
Jack Cunningham, Copeland
Jackie Lawrence, Preseli Pembrokeshire
James Cran, Beverley & Holderness
Jane Griffiths, Reading East
Jean Corston, Bristol East
Jenny Tonge, Richmond Park
Jimmy Wray, Glasgow Baillieston
John Burnett, Devon West & Torridge
John Hume, Foyle
John McWilliam, Blaydon
John Wilkinson, Ruislip-Northwood
Jonathan Sayeed, Bedfordshire Mid
Joyce Quin, Gateshead East & Washington West
Julia Drown, Swindon South
Kevin Hughes, Doncaster North
Kevin McNamara, Hull North
Lewis Moonie, Kirkcaldy
Llewellyn Smith, Blaenau Gwent
Lynda Clark, Edinburgh Pentlands
Malcolm Savidge, Aberdeen North
Martin O'Neill, Ochil
Martin Smyth, Belfast South
Michael Portillo, Kensington & Chelsea
Michael Trend, Windsor
Nick Hawkins, Surrey Heath
Nigel Jones, Cheltenham
Paul Boateng, Brent South
Paul Marsden, Shrewsbury & Atcham
Paul Tyler, North Cornwall
Peter Pike, Burnley
Richard Allan, Sheffield Hallam
Richard Page, Hertfordshire South West
Robert Jackson, Wantage
Ross Cranston, Dudley North
Seamus Mallon, Newry & Armagh
Sir Archy Kirkwood, Roxburgh & Berwickshire
Sir Brian Mawhinney, Cambridgeshire North West
Sir Sydney Chapman, Chipping Barnet
Sir Teddy Taylor, Rochford & Southend East
Syd Rapson, Portsmouth North
Tam Dalyell, Linlithgow
Terry Lewis, Worsley
Tom Cox, Tooting
Tony Banks, West Ham
Tony Worthington, Clydebank & Milngavie
Virginia Bottomley, Surrey South West
William O'Brien, Normanton
Win Griffiths, Bridgend
