Diane	Abbott	Hackney North & Stoke Newington	£0	£1,527	£18,233	£72,310	£4,219	£0	£2,791	£2,038	£1,827
Gerry	Adams	Belfast West	£9,505	£0	£15,171	£49,070	£1,808	£320	£141	£1,779	£0
Irene	Adams	Paisley North	£19,722	£0	£18,231	£65,596	£20,953	£3,612	£2,618	£1,807	£0
Nick	Ainger	Carmarthen West & South Pembrokeshire	£12,800	£1,527	£14,639	£64,527	£11,598	£147	£1,277	£1,888	£0
Bob	Ainsworth	Coventry North East	£19,722	£1,527	£18,117	£64,551	£11,423	£1,035	£712	£1,818	£0
Peter	Ainsworth	East Surrey	£19,708	£0	£14,405	£68,458	£2,746	£0	£1,221	£1,940	£0
Douglas	Alexander	Paisley South	£18,987	£1,527	£18,192	£61,835	£15,264	£1,622	£1,416	£1,922	£0
Richard	Allan	Sheffield, Hallam	£15,213	£0	£18,200	£60,029	£5,993	£277	£2,907	£1,984	£0
Graham	Allen	Nottingham North	£19,722	£0	£18,234	£65,201	£18,871	£0	£3,318	£1,563	£0
David	Amess	Southend West	£19,421	£0	£18,234	£72,310	£6,332	£46	£1,215	£1,994	£0
Michael	Ancram	Devizes	£12,423	£0	£16,301	£62,327	£7,264	£0	£739	£1,219	£13,050
Donald	Anderson	Swansea East	£19,722	£0	£18,234	£72,047	£10,134	£0	£554	£1,560	£0
Janet	Anderson	Rossendale & Darwen	£19,722	£0	£17,668	£69,129	£28,207	£1,734	£2,013	£1,104	£0
James	Arbuthnot	North East Hampshire	£19,722	£0	£17,677	£53,140	£5,220	£18	£672	£1,567	£0
Hilary	Armstrong	North West Durham	£13,936	£1,527	£15,204	£53,376	£13,521	£254	£831	£1,861	£0
Candy	Atherton	Falmouth & Camborne	£19,670	£0	£18,234	£65,545	£14,582	£1,115	£1,750	£1,954	£993
Charlotte	Atkins	Staffordshire Moorlands	£7,865	£0	£17,955	£61,855	£12,298	£1,567	£3,169	£1,670	£0
David	Atkinson	Bournemouth East	£18,344	£0	£18,234	£61,570	£7,332	£332	£362	£1,769	£0
Peter	Atkinson	Hexham	£19,715	£0	£12,211	£58,519	£14,194	£2,350	£603	£1,504	£0
John	Austin	Erith & Thamesmead	£15,930	£0	£18,234	£60,624	£5,882	£0	£1,579	£1,622	£0
Richard	Bacon	South Norfolk	£18,001	£0	£18,184	£61,530	£7,436	£948	£810	£1,880	£0
Adrian	Bailey	West Bromwich West	£19,700	£0	£16,383	£65,596	£6,915	£540	£443	£1,837	£0
Vera	Baird	Redcar	£19,693	£0	£17,866	£65,561	£11,026	£1,714	£1,469	£1,767	£0
Norman	Baker	Lewes	£19,716	£0	£18,183	£65,596	£5,979	£358	£1,604	£1,876	£0
Tony	Baldry	Banbury	£17,700	£0	£18,149	£69,212	£7,359	£18	£1,202	£1,447	£0
Tony	Banks	West Ham	£19,675	£0	£13,490	£72,310	£3,935	£0	£1,216	£1,948	£0
Gregory	Barker	Bexhill & Battle	£19,722	£0	£18,153	£61,980	£5,163	£647	£861	£1,961	£0
Harry	Barnes	North East Derbyshire	£19,722	£0	£15,558	£61,121	£10,110	£1,414	£1,165	£1,792	£0
John	Baron	Billericay	£19,713	£0	£18,035	£69,111	£4,799	£35	£2,033	£1,922	£0
John	Barrett	Edinburgh West	£16,537	£0	£15,053	£54,314	£12,287	£3,718	£2,115	£1,811	£0
Kevin	Barron	Rother Valley	£19,722	£0	£18,234	£67,404	£17,563	£353	£588	£1,556	£0
John	Battle	Leeds West	£16,012	£0	£18,234	£65,530	£12,463	£2,306	£2,266	£1,929	£0
Hugh	Bayley	York, City of	£19,722	£0	£18,234	£61,980	£15,449	£1,164	£2,065	£1,804	£0
Nigel	Beard	Bexleyheath & Crayford	£19,722	£0	£13,843	£66,504	£7,247	£0	£722	£1,300	£0
Margaret	Beckett	Derby South	£19,722	£0	£15,826	£72,310	£0	£176	£1,099	£1,852	£0
Anne	Begg	Aberdeen South	£19,722	£0	£18,234	£65,283	£15,159	£3,095	£1,056	£1,981	£0
Roy	Beggs	East Antrim	£17,853	£0	£16,832	£61,681	£14,654	£2,594	£844	£1,399	£0
A J	Beith	Berwick-upon-Tweed	£19,719	£0	£16,907	£65,745	£14,438	£1,700	£964	£1,475	£0
Stuart	Bell	Middlesbrough	£19,465	£0	£14,987	£59,851	£25,351	£4,241	£502	£1,847	£0
Henry	Bellingham	North West Norfolk	£19,722	£0	£18,234	£68,537	£10,463	£572	£2,154	£1,901	£0
Hilary	Benn	Leeds Central	£18,218	£1,527	£14,319	£52,721	£9,555	£195	£861	£2,053	£0
Andrew	Bennett	Denton & Reddish	£19,721	£0	£18,234	£61,980	£15,188	£530	£1,822	£1,658	£0
Joe	Benton	Bootle	£19,722	£0	£16,238	£61,980	£12,181	£462	£1,421	£1,900	£0
